,Year,Income
0,2020.0,74727.82717738584
1,2021.0,75860.90877942448
2,2022.0,75425.7678479691
3,2023.0,75622.60908410826
4,2024.0,74865.93145640084
5,2025.0,75072.59631493983
6,2026.0,76834.28103375049
7,2027.0,75080.32187104967
8,2028.0,76057.77813168273
9,2029.0,76472.90331925663
10,2030.0,76980.70376477575
11,2031.0,76156.31482130296
12,2032.0,76500.87665946955
13,2033.0,77218.64785046285
14,2034.0,77659.92641894953
15,2035.0,76798.66939153527
16,2036.0,76402.00673571437
17,2037.0,76106.62152510087
18,2038.0,76955.68242395372
19,2039.0,77096.07546488958
20,2040.0,76507.78409068371
21,2041.0,77015.00104173094
22,2042.0,77811.07411232991
23,2043.0,76791.81628404096
24,2044.0,76903.46880360515
25,2045.0,76953.95355060567
26,2046.0,78078.4791942781
27,2047.0,77358.7759491266
28,2048.0,78252.15233297746
29,2049.0,77492.91248421109
30,2050.0,76821.74117892415
